Hip,Distance UT,DistanceGO,Time UT,Time GO,Stride Frequency UT,Stride Frequency GO,Stride Length UT,Stride Length GO,diff
303.0,205.0,205.0,10.3,11.1,2.88,2.68,6.91,6.89,-0.02
304.0,205.0,205.0,10.1,11.1,2.66,2.53,6.23,6.09,-0.14
305.0,205.0,205.0,10,11.0,2.58,2.49,6.44,6.22,-0.22
306.0,205.0,205.0,,,,,,,
307.0,205.0,205.0,10.1,10.9,2.66,2.53,6.23,6.21,-0.02
308.0,205.0,205.0,10.1,10.3,2.93,2.3,6.92,7.11,0.19
309.0,404.32,205.0,21.3,12.8,2.93,2.67,6.47,5.99,-0.48
310.0,205.0,205.0,10.1,11.0,2.46,2.38,6.64,6.47,-0.17
311.0,205.0,205.0,,,,,,,
312.0,404.32,205.0,21.1,11.3,2.53,2.68,6.13,6.77,0.64
313.0,205.0,205.0,10,10.4,2.46,2.28,6.7,7.1,0.4
314.0,205.0,205.0,10.1,10.9,2.43,2.32,6.7,6.66,-0.04
315.0,205.0,205.0,9.4,10.9,2.39,2.75,7.28,6.85,-0.43
316.0,205.0,205.0,9.4,10.8,2.39,2.75,7.28,6.91,-0.37
317.0,404.32,205.0,21,12.0,2.88,2.65,6.68,6.44,-0.24
318.0,205.0,205.0,10,10.4,2.82,2.67,7.26,7.37,0.11
319.0,205.0,205.0,10.1,11.0,2.93,2.3,6.92,6.65,-0.27
320.0,404.32,205.0,21,11.2,2.72,2.58,7.07,7.08,0.01
321.0,205.0,205.0,9.4,10.9,2.55,2.49,6.91,6.28,-0.63
322.0,205.0,205.0,10.1,10.9,2.91,2.72,6.98,6.9,-0.08
323.0,205.0,205.0,10.2,11.0,2.86,2.7,7.03,6.9,-0.13
324.0,205.0,205.0,,,,,,,
325.0,205.0,205.0,10.2,10.9,2.42,2.38,6.65,6.53,-0.12
326.0,205.0,205.0,10.1,11.1,2.46,2.37,6.64,6.43,-0.21
327.0,205.0,205.0,10,11.1,2.58,2.53,6.44,6.09,-0.35
328.0,205.0,205.0,10,10.4,2.49,2.38,6.64,6.84,0.2
329.0,205.0,205.0,,,,,,,
330.0,404.32,205.0,20.4,11.8,2.83,2.7,7.0,6.43,-0.57
331.0,205.0,205.0,10.1,10.9,2.53,2.49,6.5,6.28,-0.22
332.0,205.0,205.0,,,,,,,
333.0,205.0,205.0,10,11.0,2.83,2.67,7.24,6.97,-0.27
334.0,205.0,205.0,,,,,,,
335.0,205.0,205.0,,,,,,,
336.0,205.0,205.0,10,11.0,2.93,2.75,6.99,6.78,-0.21
337.0,205.0,205.0,10.1,10.9,2.43,2.36,6.7,6.58,-0.12
338.0,205.0,205.0,10.1,11.0,2.34,2.72,6.9,6.84,-0.06
339.0,205.0,205.0,10.2,11.1,2.77,2.62,5.97,5.93,-0.04
340.0,205.0,205.0,10.1,11.0,2.37,2.72,6.84,6.84,0.0
341.0,205.0,205.0,10.4,11.0,2.39,2.42,6.58,6.39,-0.19
342.0,205.0,205.0,10.1,11.1,2.43,2.75,6.7,6.72,0.02
343.0,404.32,205.0,20.4,11.7,2.78,2.65,7.14,6.61,-0.53
344.0,205.0,205.0,10.1,11.1,2.66,2.53,6.23,6.09,-0.14
345.0,205.0,205.0,10.2,11.0,2.42,2.32,6.65,6.6,-0.05
346.0,205.0,205.0,,,,,,,
347.0,205.0,205.0,10,10.3,2.46,2.38,6.7,6.91,0.21
348.0,205.0,205.0,,,,,,,
349.0,205.0,205.0,10,10.4,2.42,2.75,6.79,7.16,0.37
350.0,404.32,205.0,21.3,12.0,2.91,2.7,6.53,6.32,-0.21
351.0,205.0,205.0,,,,,,,
352.0,205.0,205.0,10.2,11.0,2.37,2.75,6.77,6.77,0.0
353.0,205.0,205.0,10.1,11.0,2.88,2.7,7.04,6.9,-0.14
354.0,205.0,205.0,,,,,,,
355.0,205.0,205.0,,,,,,,
356.0,205.0,205.0,,,,,,,
357.0,205.0,205.0,10.1,11.0,2.86,2.67,7.1,6.97,-0.13
358.0,205.0,205.0,10,11.0,2.56,2.44,6.48,6.34,-0.14
359.0,205.0,205.0,,,,,,,
360.0,205.0,205.0,,,,,,,
361.0,205.0,205.0,10,10.4,2.46,2.41,6.7,6.78,0.08
362.0,205.0,205.0,10,10.4,2.86,2.27,7.18,7.12,-0.06
363.0,205.0,205.0,10,10.4,2.86,2.7,7.18,7.31,0.13
364.0,205.0,205.0,10.2,11.2,2.49,2.75,6.51,6.66,0.15
365.0,205.0,205.0,10.2,11.0,2.93,2.7,6.85,6.91,0.06
366.0,404.32,205.0,21.4,11.6,2.77,2.56,6.82,6.89,0.07
367.0,205.0,205.0,10,10.4,2.93,2.28,6.99,7.1,0.11
368.0,205.0,205.0,10,10.4,2.58,2.47,6.44,6.64,0.2
369.0,404.32,205.0,21.1,11.9,2.37,2.72,6.46,6.32,-0.14
370.0,205.0,205.0,,,,,,,
371.0,205.0,205.0,10.1,11.1,2.43,2.75,6.7,6.72,0.02
372.0,205.0,205.0,9.3,10.8,2.43,2.72,7.27,6.99,-0.28
373.0,205.0,205.0,10.1,10.9,2.86,2.7,7.1,6.98,-0.12
374.0,205.0,205.0,,,,,,,
375.0,205.0,205.0,10.3,11.1,2.92,2.67,6.83,6.91,0.08
376.0,205.0,205.0,,,,,,,
377.0,205.0,205.0,,,,,,,
378.0,205.0,205.0,10.1,10.9,2.49,2.63,6.58,6.02,-0.56
379.0,205.0,205.0,9.4,10.8,2.43,2.27,7.2,6.85,-0.35
